B2,GN
1.0,14.142135623730951
14.035668847618199,14.035668847618199
14.142135623730951,28.071337695236398
1.0,28.071337695236398
14.142135623730951,28.071337695236398
1.0,14.035668847618199
14.142135623730951,28.071337695236398
14.142135623730951,14.142135623730951
14.142135623730951,14.035668847618199
1.0,14.035668847618199
1.0,1.0
1.0,14.142135623730951
14.142135623730951,28.071337695236398
1.0,14.035668847618199
1.0,14.035668847618199
1.0,14.142135623730951
0.0,28.071337695236398
1.0,28.071337695236398
14.142135623730951,0.0
1.0,14.142135623730951
14.142135623730951,28.071337695236398
1.0,14.142135623730951
14.035668847618199,28.071337695236398
14.035668847618199,14.035668847618199
7.22841614740048,28.071337695236398
1.0,14.035668847618199
14.142135623730951,14.142135623730951
1.0,28.071337695236398
14.035668847618199,1.0
14.142135623730951,1.0
