B2,GN
3.3926691677251193,3.8913824205360674
3.407674411964732,4.017817460121495
3.2419444908314903,3.8913824205360674
3.7688302737922625,3.912303982179758
3.7688302737922625,3.8913824205360674
3.407674411964732,3.912303982179758
3.4285714285714284,4.007645754030153
3.3866484546084847,4.017817460121495
3.3866484546084847,3.9357078039874027
3.7579846965616874,4.017817460121495
3.407674411964732,3.8913824205360674
3.7688302737922625,3.933114256553201
3.7688302737922625,3.912303982179758
3.38363408066486,3.9434782119549316
3.760699023168052,4.017817460121495
3.7688302737922625,3.912303982179758
3.7579846965616874,4.017817460121495
3.7688302737922625,4.017817460121495
3.45820526768863,4.007645754030153
3.7688302737922625,4.007645754030153
3.4166459266003995,3.912303982179758
3.407674411964732,3.930518997770744
3.401680257083045,3.912303982179758
3.760699023168052,3.901857223927904
3.760699023168052,3.9096949095440023
3.407674411964732,3.912303982179758
3.7688302737922625,3.933114256553201
3.38363408066486,3.912303982179758
3.7688302737922625,4.017817460121495
3.407674411964732,4.017817460121495
