B2,GN
1.8027756377319948,1.6124515496597098
1.8789923482808437,1.6329931618554518
1.4832396974191326,1.4719601443879744
1.3844373104863459,1.3248026422136718
1.3844373104863459,1.4719601443879744
1.8789923482808437,1.3248026422136718
1.8461211404742979,1.8220867158288594
1.8484227510682363,1.6329931618554518
1.8484227510682363,1.6072751268321592
1.5362291495737215,1.6329931618554518
1.8789923482808437,1.4719601443879744
1.3844373104863459,1.3850513878332367
1.3844373104863459,1.3248026422136718
2.078460969082653,1.7663521732655691
1.5491933384829668,1.6329931618554518
1.3844373104863459,1.3248026422136718
1.8540496217739157,1.6329931618554518
1.3844373104863459,1.6329931618554518
1.5714285714285714,1.8220867158288594
1.3844373104863459,1.8220867158288594
2.1540659228538015,1.3248026422136718
1.8789923482808437,1.5723301886761005
1.8461211404742979,1.3248026422136718
1.5491933384829668,1.6613247725836149
1.5491933384829668,1.5
1.8789923482808437,1.3248026422136718
1.3844373104863459,1.3850513878332367
2.078460969082653,1.3248026422136718
1.3844373104863459,1.6329931618554518
1.8789923482808437,1.6329931618554518
