
VAR_18_BeT-1664255112.uml	 strategy
VAR_18_BeT-2384426351.uml	nao aplicado
VAR_14_BeT-4564839264.uml	 strategy
VAR_0_BeT-6578593564.uml	nao aplicado
VAR_11_BeT-3811568898.uml	 strategy
VAR_7_BeT-8413658176.uml	 strategy
VAR_0_BeT-7712233122.uml	nao aplicado
VAR_4_BeT-8454528451.uml	 strategy
VAR_16_BeT-1544322934.uml	 strategy
VAR_4_BeT-7381163739.uml	 strategy
VAR_0_BeT-6114341831.uml	 strategy
