
VAR_2_BeT-6951673189.uml	nao aplicado
VAR_6_BeT-6165851512.uml	nao aplicado
VAR_3_BeT-2871273654.uml	nao aplicado
VAR_9_BeT-5378422279.uml	nao aplicado
VAR_6_BeT-4412538865.uml	nao aplicado
VAR_7_BeT-7813613359.uml	nao aplicado
VAR_5_BeT-2519415547.uml	nao aplicado
VAR_2_BeT-1512155463.uml	nao aplicado
VAR_13_BeT-6457845466.uml	nao aplicado
VAR_0_BeT-5614192215.uml	 strategy
VAR_10_BeT-1619313891.uml	nao aplicado
VAR_10_BeT-6211848177.uml	nao aplicado
VAR_2_BeT-1198119447.uml	nao aplicado
VAR_13_BeT-2733293195.uml	nao aplicado
VAR_13_BeT-1229635419.uml	nao aplicado
VAR_2_BeT-2995798875.uml	nao aplicado
VAR_6_BeT-6313391367.uml	 strategy
VAR_2_BeT-4664236897.uml	nao aplicado
VAR_2_BeT-3315816152.uml	nao aplicado
VAR_13_BeT-3885759799.uml	nao aplicado
VAR_10_BeT-4861165255.uml	nao aplicado
VAR_10_BeT-7841939542.uml	nao aplicado
VAR_1_BeT-1898492673.uml	nao aplicado
VAR_5_BeT-5463727511.uml	 strategy
VAR_1_BeT-5796562937.uml	nao aplicado
VAR_12_BeT-1132712135.uml	nao aplicado
VAR_8_BeT-6274352584.uml	nao aplicado
VAR_10_BeT-2618897973.uml	nao aplicado
VAR_1_BeT-9635172775.uml	 strategy
VAR_1_BeT-1964712348.uml	nao aplicado
VAR_7_BeT-8569821516.uml	 strategy
VAR_3_BeT-8261688857.uml	nao aplicado
VAR_6_BeT-8118444123.uml	 strategy
VAR_0_BeT-8388654112.uml	 strategy
VAR_5_BeT-7288357197.uml	nao aplicado
VAR_1_BeT-1132915697.uml	nao aplicado
VAR_8_BeT-9221413169.uml	nao aplicado
VAR_12_BeT-9147641194.uml	nao aplicado
VAR_11_BeT-8269177813.uml	nao aplicado
VAR_8_BeT-2262729917.uml	nao aplicado
VAR_12_BeT-8173843821.uml	nao aplicado
VAR_6_BeT-6252425117.uml	nao aplicado
VAR_2_BeT-4611944969.uml	 strategy
VAR_9_BeT-3312813387.uml	nao aplicado
VAR_4_BeT-9683283516.uml	nao aplicado
VAR_5_BeT-3134151178.uml	nao aplicado
VAR_3_BeT-8157757637.uml	 strategy
VAR_5_BeT-1784312821.uml	 strategy
VAR_6_BeT-1684673781.uml	nao aplicado
VAR_13_BeT-1851257868.uml	 strategy
VAR_1_BeT-9629161831.uml	nao aplicado
VAR_7_BeT-3662731898.uml	 strategy
VAR_0_BeT-6312544112.uml	nao aplicado
VAR_2_BeT-3743189234.uml	nao aplicado
VAR_7_BeT-6817645866.uml	 strategy
VAR_0_BeT-1275827169.uml	nao aplicado
VAR_7_BeT-7573193179.uml	 strategy
VAR_6_BeT-4752459512.uml	nao aplicado
VAR_4_BeT-8347498125.uml	 strategy
VAR_12_BeT-9817678633.uml	 strategy
VAR_7_BeT-7131517367.uml	nao aplicado
VAR_0_BeT-2311572745.uml	 strategy
VAR_5_BeT-4521565412.uml	nao aplicado
VAR_0_BeT-4425464234.uml	nao aplicado
VAR_6_BeT-7182896227.uml	nao aplicado
VAR_8_BeT-8918326176.uml	nao aplicado
VAR_2_BeT-3165494477.uml	nao aplicado
VAR_11_BeT-2155149623.uml	nao aplicado
VAR_0_BeT-3521611855.uml	nao aplicado
VAR_11_BeT-8576915141.uml	nao aplicado
VAR_1_BeT-4358586423.uml	nao aplicado
VAR_0_BeT-7444712726.uml	nao aplicado
VAR_6_BeT-3189731434.uml	nao aplicado
VAR_10_BeT-2517416115.uml	nao aplicado
VAR_3_BeT-9895261869.uml	nao aplicado
VAR_2_BeT-4111631485.uml	nao aplicado
VAR_2_BeT-3745971893.uml	nao aplicado
VAR_7_BeT-1125111879.uml	nao aplicado
VAR_1_BeT-6547379992.uml	nao aplicado
VAR_2_BeT-5458597332.uml	nao aplicado
VAR_1_BeT-4256621198.uml	 strategy
VAR_12_BeT-3413928873.uml	nao aplicado
VAR_11_BeT-6431314954.uml	nao aplicado
VAR_0_BeT-1538653959.uml	 strategy
VAR_10_BeT-1171735174.uml	nao aplicado
VAR_11_BeT-8271886822.uml	nao aplicado
