B2,GN
30.804290480464125,26.84240438175542
25.58294977814328,27.083673236372885
23.885580990793628,27.192369759949894
26.359115805607818,27.192369759949894
31.144186421765777,23.642425281750267
28.820024115533087,27.494014638288682
27.04532799857061,31.192966095322678
28.45036305200788,27.740419519727656
27.494047761084683,23.45213946458856
25.94301508748199,25.53784921928046
29.15588631636767,29.18135743123137
26.21034874455669,27.494119658544374
28.469892218147724,31.401143927261753
26.75907836972368,31.390689485657653
30.998056690966663,29.332653304264216
23.48561532168717,26.155601169812517
23.579114078193047,29.32463673812049
31.39024015846313,28.981285827274892
10.77364725157758,28.981285827274892
24.757995969298452,24.873595453131273
31.226785502739872,28.981285827274892
26.91503409683164,29.155993431807346
31.018617490395435,23.417924950345252
25.20599529894703,31.193533679430605
26.91503409683164,27.332311488917288
24.892589309358595,31.192966095322678
31.402735909398643,24.051847508801345
28.834343934348908,27.660404112071237
30.421469038275404,27.192369759949894
35.21127856701957,34.11159497893936
