0.5	0.6666666667
	
0.5	0.3333333333
	
1	0.6666666667
	
1	0.6666666667
	
1	0.6666666667
	
0.5	0.3333333333
	
1	0.6666666667
	
0.5	0.6666666667
	
0.5	0.3333333333
	
0.5	0.3333333333
	
0	0.3333333333
	
0.5	0.6666666667
	
1	0.6666666667
	
0.5	0.3333333333
	
0.5	0.3333333333
	
0.5	0.6666666667
	
1	0.6666666667
	
1	0.6666666667
	
0	0
	
0.5	0.6666666667
	
1	0.6666666667
	
0.5	0.6666666667
	
1	0.6666666667
	
0.5	0.3333333333
	
1	0.6666666667
	
0.5	0.3333333333
	
0.5	0.6666666667
	
1	0.6666666667
	
0	0.3333333333
	
0	0.3333333333

